page,claim_source_url,count
http://www.politifact.com/texas/statements/2015/dec/11/bryan-hughes/bryan-hughes-mostly-wrong-about-david-simpson-voti/,http://www.slideshare.net/DavidSimpsonTX/rep-david-simpson-working-vacation-on-the-texas-border?qid=11a4b950-66f2-4906-8f0b-4f739a908c46&v=default&b=&from_search=2,0
http://www.politifact.com/truth-o-meter/statements/2014/aug/14/joe-miller/granting-illegal-immigrants-amnesty-will-destroy-s/,http://www.adn.com/article/20140811/miller-links-immigration-gun-rights-inflammatory-campaign-mailing,0
http://www.politifact.com/florida/statements/2011/jun/09/rick-scott/rick-scott-says-welfare-recipients-are-more-likely/,http://www.flsenate.gov/Session/Bill/2011/353,1
http://www.politifact.com/ohio/statements/2013/apr/02/progressohio/progressohio-says-ohio-lacks-law-prohibiting-emplo/,http://www.businessmanagementdaily.com/35001/sexual-orientation-discrimination-vs-sexual-stereotypes-discrimination-a-distinction-without-a-difference,0
http://www.politifact.com/texas/statements/2015/mar/30/ted-cruz/ted-cruz-says-today-roughly-half-born-again-christ/,https://docs.google.com/document/d/1Hzb1tAMdbXDN0q4WU04JMeOLO6jPI8YTclvbdsal6rk/pub,0
http://www.politifact.com/texas/statements/2014/sep/05/ted-cruz/ted-cruz-says-isis-crucifying-christians-iraq-nail/,https://docs.google.com/document/d/172DgNFWh6D587mrWOQeUGeyb7MAjl26OP7CCp-EYnbs/pub,1
http://www.politifact.com/virginia/statements/2015/mar/09/rick-perry/rick-perry-errs-tying-patriotism-quote-thomas-pain/,http://kenburchell.blogspot.com/2010/09/another-bogus-quote-it-is-duty-of-every.html,0
http://www.politifact.com/truth-o-meter/statements/2016/feb/05/hillary-clinton/clinton-says-sanders-proposed-iranian-troops-syria/,https://www.washingtonpost.com/news/the-fix/wp/2015/11/14/the-cbs-democratic-debate-transcript-with-insight-from-the-fix/,0
http://www.politifact.com/texas/statements/2010/jul/25/wendy-davis/wendy-davis-says-texas-commission-environmental-qu/,http://www.texasobserver.org/cover-story/agency-of-destruction,0
http://www.politifact.com/texas/statements/2016/jan/06/donald-trump/donald-trump-incorrectly-says-ted-cruz-has-had-dou/,https://docs.google.com/document/d/16sb8q7SP9ZvX4ESJcIkB0jQedxwW6nlGpTPEOPR3KZ4/pub,0
http://www.politifact.com/punditfact/statements/2015/apr/23/ed-schultz/msnbcs-schultz-trade-deals-closed-50000-factories/,https://hbr.org/2012/03/shattering-the-myths-about-us-trade-policy,0
